year,ownershg,value,rent,ftotinc,nfams,ncouples,nmothers,nfathers,momloc,stepmom,momrule,poploc,steppop,poprule,sploc,sprule,famsize,nchild,nchlt5,famunit,eldch,yngch,nsibs,age,sex,school,educrec,schltype,occscore,sei,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,migrat5g,movedin,gq_HH_in_1970_definition_but_sampled_as_larger_unit,gq_Institution,gq_Other_group_quarters,gqtypeg_Institution_(1990),gqtypeg_NA_(household),gqtypeg_Non-institutional_GQ_(1940_1950_1990),farm_Farm,farm_Non-Farm,relateg_Child,relateg_Child-in-law,relateg_Grandchild,relateg_Head_Householder,relateg_Institutional_inmates,relateg_Other_non-relatives,relateg_Other_relatives,relateg_Parent,relateg_Parent-in-Law,relateg_Partner_friend_visitor,relateg_Sibling,relateg_Sibling-in-Law,relateg_Spouse,raceg_American_Indian,raceg_Black_Negro,raceg_Chinese,raceg_Japanese,raceg_Other_Asian_or_Pacific,raceg_Other_race_nec,raceg_White,marst_Divorced,marst_Married_spouse_absent,marst_Married_spouse_present,marst_Never_married_single,marst_Separated,marst_Widowed,binaryClass
99,1,42499.0,0.0,31000.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,99,99,0,24,0,1,7,1,25,44,16700.0,16700.0,0.0,0,0.0,0.0,0.0,259.0,1,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
99,0,999999.0,137.0,7800.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,79,0,0,6,0,0,0,7800.0,0.0,0.0,0,5292.0,2508.0,0.0,131.0,0,2,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1
99,0,999999.0,0.0,999999.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,51,0,0,7,0,41,68,660.0,0.0,0.0,0,0.0,660.0,0.0,0.0,1,0,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1
99,0,999999.0,462.0,37118.0,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,2,1,0,7,0,0,0,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,295.0,1,0,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
99,0,999999.0,625.0,14000.0,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,3,0,0,0,0,0,0,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,111.0,1,0,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
99,1,225000.0,0.0,63000.0,1,1,1,1,0,0,0,0,0,0,1,1,4,2,1,1,5,2,0,28,0,0,6,0,24,44,20000.0,20000.0,0.0,0,0.0,0.0,0.0,501.0,1,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,0,999999.0,575.0,45500.0,1,1,1,1,0,0,0,0,0,0,2,1,6,4,0,1,24,19,0,44,0,0,2,0,23,18,16000.0,16000.0,0.0,0,0.0,0.0,0.0,256.0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,1,85000.0,0.0,31564.0,1,1,1,1,0,0,0,0,0,0,1,1,3,1,0,1,20,20,0,55,0,0,6,0,11,11,9600.0,9600.0,0.0,0,0.0,0.0,0.0,325.0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,0,999999.0,675.0,32096.0,1,2,2,2,0,0,0,0,0,0,8,1,11,1,0,1,6,6,2,28,0,0,2,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,128.0,1,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,0,999999.0,725.0,30800.0,1,1,1,1,0,0,0,0,0,0,1,1,5,3,0,1,37,21,0,59,0,0,2,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,200.0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,1,137500.0,0.0,13000.0,1,1,1,1,0,0,0,0,0,0,2,1,5,3,0,1,16,6,0,36,1,0,7,0,10,19,19000.0,19000.0,0.0,0,0.0,0.0,0.0,88.0,0,6,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,0,999999.0,512.0,172746.0,1,1,1,1,0,0,0,0,0,0,1,1,5,2,2,1,2,0,0,28,0,0,3,0,13,10,168246.0,7000.0,123515.0,0,0.0,0.0,0.0,501.0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,0,999999.0,0.0,999999.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,25,1,0,6,0,0,0,3000.0,0.0,0.0,0,0.0,0.0,3000.0,0.0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
99,0,999999.0,312.0,8492.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,39,1,0,7,0,41,68,8492.0,4176.0,0.0,0,0.0,0.0,4316.0,132.0,0,5,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
99,1,350000.0,0.0,115000.0,1,1,1,1,2,0,1,1,0,1,0,0,3,0,0,1,99,99,0,19,1,1,7,1,18,44,12000.0,12000.0,0.0,0,0.0,0.0,0.0,501.0,0,0,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
99,1,137500.0,0.0,19357.0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,14,14,0,40,0,1,7,1,22,61,19357.0,19000.0,0.0,0,0.0,0.0,357.0,226.0,0,7,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,1
99,1,350000.0,0.0,87980.0,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,16,1,1,4,2,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,501.0,0,0,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
99,1,162500.0,0.0,28000.0,1,1,1,1,0,0,0,0,0,0,1,1,5,3,1,1,13,2,0,31,0,0,6,0,22,61,14000.0,14000.0,0.0,0,0.0,0.0,0.0,189.0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,0,999999.0,675.0,26530.0,1,1,1,1,0,0,0,0,0,0,2,1,3,1,0,1,29,29,0,53,1,0,6,0,23,18,9507.0,5191.0,0.0,0,0.0,0.0,4316.0,274.0,1,1,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,1,225000.0,0.0,70920.0,1,1,1,1,0,0,0,0,0,0,1,1,4,2,0,1,16,13,0,42,0,0,7,0,22,51,29120.0,29120.0,0.0,0,0.0,0.0,0.0,501.0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,0,999999.0,487.0,12461.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,46,1,1,8,1,31,65,12461.0,224.0,0.0,0,0.0,6695.0,5112.0,193.0,1,1,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1
99,0,999999.0,625.0,17000.0,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,3,1,0,0,0,0,0,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,115.0,1,0,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
99,1,400000.0,0.0,48400.0,1,1,1,1,0,0,0,0,0,0,2,1,4,2,0,1,12,11,0,40,1,0,7,0,32,62,47800.0,47800.0,0.0,0,0.0,0.0,0.0,385.0,0,6,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,0,999999.0,675.0,11000.0,3,0,1,1,6,0,6,0,0,0,0,0,2,0,0,3,99,99,0,13,1,1,2,1,0,0,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,1.0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
99,0,999999.0,512.0,26512.0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,28,1,0,8,0,27,31,26512.0,26300.0,0.0,0,0.0,0.0,0.0,319.0,1,2,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,0,999999.0,0.0,999999.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,79,0,0,8,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1
99,1,137500.0,0.0,20840.0,1,1,1,1,0,0,0,0,0,0,2,1,3,1,0,1,10,10,0,51,1,0,6,0,25,22,15840.0,15840.0,0.0,0,0.0,0.0,0.0,209.0,0,6,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,0,999999.0,512.0,42000.0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,99,99,2,32,1,0,6,0,16,15,12000.0,12000.0,0.0,0,0.0,0.0,0.0,433.0,1,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0
99,1,162500.0,0.0,90929.0,1,0,1,0,1,0,1,0,0,0,0,0,4,0,0,1,99,99,2,21,1,0,6,0,24,19,15000.0,15000.0,0.0,0,0.0,0.0,0.0,501.0,0,0,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
99,0,999999.0,412.0,32285.0,1,0,0,1,0,0,0,1,0,1,0,0,5,0,0,1,99,99,3,12,1,1,2,1,0,0,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,206.0,1,0,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
99,1,162500.0,0.0,15000.0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,60,1,0,6,0,0,0,15000.0,0.0,0.0,0,0.0,0.0,0.0,181.0,0,6,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1
99,1,162500.0,0.0,29449.0,1,1,1,1,0,0,0,0,0,0,2,1,4,2,0,1,20,10,0,62,1,0,2,0,0,0,6360.0,0.0,0.0,0,0.0,6360.0,0.0,227.0,0,6,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,1,162500.0,0.0,52000.0,1,0,1,0,2,0,1,0,0,0,0,0,2,0,0,1,99,99,0,43,1,0,8,0,27,72,42000.0,33000.0,0.0,0,0.0,0.0,0.0,501.0,0,5,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
99,1,400000.0,0.0,201316.0,1,1,1,1,0,0,0,0,0,0,2,1,3,1,1,1,3,3,0,33,1,0,7,0,31,65,199316.0,195516.0,0.0,0,0.0,0.0,0.0,501.0,1,2,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,0,999999.0,1000.0,21010.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,99,99,0,25,1,1,8,1,11,18,24800.0,24000.0,0.0,0,0.0,0.0,0.0,384.0,1,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0
99,0,999999.0,575.0,1500.0,1,1,1,1,0,0,0,0,0,0,2,1,5,3,1,1,11,1,0,34,1,0,0,0,23,18,1500.0,1500.0,0.0,0,0.0,0.0,0.0,10.0,0,2,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,0,999999.0,1000.0,32200.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,40,1,0,7,0,24,47,32200.0,32000.0,0.0,0,0.0,0.0,0.0,499.0,1,1,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1
99,0,999999.0,112.0,12192.0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,76,0,0,1,0,0,0,5448.0,0.0,0.0,0,3984.0,1464.0,0.0,163.0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,0,999999.0,875.0,31800.0,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,16,1,1,2,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,210.0,1,0,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
99,0,999999.0,575.0,16000.0,1,1,1,1,2,7,1,1,0,1,0,0,7,0,0,1,99,99,4,9,0,0,1,0,0,0,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,86.0,1,0,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
99,0,999999.0,262.0,31000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,57,0,0,6,0,32,42,31000.0,30000.0,0.0,0,0.0,0.0,0.0,481.0,0,7,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1
99,1,37500.0,0.0,13800.0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,66,1,0,6,0,0,0,13800.0,0.0,0.0,0,9600.0,0.0,0.0,184.0,0,7,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,1,350000.0,0.0,96380.0,1,1,1,1,0,0,0,0,0,0,1,1,5,3,0,1,22,13,0,45,0,0,8,0,26,72,33000.0,33000.0,0.0,0,0.0,0.0,0.0,501.0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,1,400000.0,0.0,70000.0,1,1,1,1,0,0,0,0,0,0,2,2,4,2,0,1,12,9,0,40,0,0,8,0,41,68,0.0,0.0,0.0,0,0.0,0.0,0.0,501.0,0,6,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,0,999999.0,575.0,17300.0,1,1,1,1,0,0,0,0,0,0,2,2,4,1,1,1,3,3,1,24,0,0,6,0,22,18,6500.0,6500.0,0.0,0,0.0,0.0,0.0,133.0,1,1,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,1,225000.0,0.0,107300.0,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,3,99,99,0,21,0,1,7,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1,0,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1
99,0,999999.0,462.0,12160.0,2,1,1,1,2,0,1,1,0,1,0,0,8,0,0,1,99,99,4,0,0,0,7,0,0,0,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,58.0,1,0,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
99,0,999999.0,537.0,26967.0,1,1,1,1,0,0,0,0,0,0,2,1,4,1,0,1,5,5,0,40,1,1,8,1,41,68,11967.0,11967.0,0.0,0,0.0,0.0,0.0,207.0,1,1,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1
99,0,999999.0,262.0,6720.0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,3,3,0,35,0,0,7,0,0,0,6720.0,0.0,0.0,0,0.0,6720.0,0.0,79.0,0,5,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1
99,1,162500.0,0.0,68000.0,1,1,1,0,0,0,0,0,0,0,1,1,3,0,0,1,99,99,0,49,0,0,6,0,37,78,28000.0,28000.0,0.0,0,0.0,0.0,0.0,501.0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,1,225000.0,0.0,44456.0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,99,99,0,48,0,0,6,0,30,24,33728.0,24000.0,0.0,0,3828.0,0.0,0.0,501.0,0,6,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
99,1,77500.0,0.0,39000.0,1,1,1,1,0,0,0,0,0,0,1,1,4,2,0,1,20,8,0,41,0,0,8,0,29,72,7000.0,7000.0,0.0,0,0.0,0.0,0.0,300.0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,1
99,1,112500.0,0.0,33140.0,1,1,1,1,0,0,0,0,0,0,2,1,3,1,0,1,20,20,0,42,1,0,6,0,23,18,25000.0,25000.0,0.0,0,0.0,0.0,0.0,342.0,0,6,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,1,400000.0,0.0,195516.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,35,1,1,8,1,79,92,195516.0,195516.0,0.0,0,0.0,0.0,0.0,501.0,1,1,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
99,1,112500.0,0.0,61400.0,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,21,0,0,6,0,18,44,400.0,400.0,0.0,0,0.0,0.0,0.0,392.0,0,0,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
99,1,52500.0,0.0,25008.0,1,1,1,1,0,0,0,0,0,0,0,0,6,0,0,1,99,99,0,12,1,1,2,1,0,0,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,151.0,0,0,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
99,1,275000.0,0.0,87000.0,1,1,1,1,0,0,0,0,0,0,1,2,4,2,0,1,15,12,0,40,1,0,6,0,20,8,40000.0,40000.0,0.0,0,0.0,0.0,0.0,501.0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1
99,0,999999.0,875.0,38800.0,1,2,1,1,0,0,0,0,0,0,0,0,10,0,0,1,99,99,3,24,0,0,6,0,41,68,0.0,0.0,0.0,0,0.0,0.0,0.0,147.0,1,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1
99,0,999999.0,575.0,28000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,26,0,0,8,0,41,72,28000.0,28000.0,0.0,0,0.0,0.0,0.0,434.0,1,1,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
99,1,162500.0,0.0,16182.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,77,0,0,6,0,27,39,16182.0,0.0,0.0,0,10367.0,0.0,0.0,272.0,0,7,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1
99,0,999999.0,187.0,7032.0,1,0,1,0,1,0,1,0,0,0,0,0,6,0,0,1,99,99,4,10,1,1,2,1,0,0,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,42.0,0,0,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
99,0,999999.0,362.0,63000.0,1,1,1,1,0,0,0,0,0,0,0,0,7,0,0,1,99,99,0,25,1,1,6,1,27,22,13000.0,13000.0,0.0,0,0.0,0.0,0.0,318.0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
