Lottery.pick.1970,Lottery.pick.1971,Month,Month.ordered.picks.1970,binaryClass
94.0,28.0,10,2,0
229.0,259.0,10,7,0
38.0,332.0,10,12,0
79.0,311.0,10,1,0
19.0,243.0,11,1,0
34.0,205.0,11,8,0
348.0,294.0,11,5,0
266.0,39.0,11,11,0
310.0,286.0,11,11,0
76.0,245.0,11,8,0
51.0,72.0,11,4,0
97.0,119.0,11,5,0
80.0,176.0,11,12,0
282.0,63.0,11,9,0
46.0,123.0,11,4,0
66.0,255.0,11,3,0
126.0,272.0,11,1,0
127.0,11.0,11,5,0
131.0,362.0,11,12,0
107.0,197.0,11,5,0
143.0,6.0,11,7,0
146.0,280.0,11,3,0
203.0,252.0,11,8,0
185.0,98.0,11,1,0
156.0,35.0,11,5,0
9.0,253.0,11,7,0
182.0,193.0,11,12,0
230.0,81.0,11,1,0
132.0,23.0,11,5,1
309.0,52.0,11,7,0
47.0,168.0,11,3,0
281.0,324.0,11,8,0
99.0,100.0,11,3,0
174.0,67.0,11,6,0
129.0,347.0,12,4,1
328.0,321.0,12,1,0
157.0,110.0,12,2,0
165.0,305.0,12,8,0
56.0,27.0,12,4,0
10.0,198.0,12,6,0
12.0,162.0,12,10,0
105.0,323.0,12,3,0
43.0,114.0,12,8,0
41.0,204.0,12,4,0
39.0,73.0,12,4,1
314.0,19.0,12,2,0
163.0,151.0,12,11,0
26.0,348.0,12,1,0
320.0,87.0,12,7,0
96.0,41.0,12,4,0
304.0,315.0,12,8,0
128.0,208.0,12,6,0
240.0,249.0,12,3,0
135.0,218.0,12,1,0
70.0,181.0,12,6,0
53.0,194.0,12,5,0
162.0,219.0,12,6,0
95.0,2.0,12,10,0
84.0,361.0,12,6,0
173.0,80.0,12,5,0
78.0,239.0,12,3,0
123.0,128.0,12,2,0
16.0,145.0,12,5,0
3.0,192.0,12,2,0
100.0,126.0,12,6,1
