Day,Births,Month_1/1/00,Month_10/1/00,Month_11/1/00,Month_12/1/00,Month_2/1/00,Month_3/1/00,Month_4/1/00,Month_5/1/00,Month_6/1/00,Month_7/1/00,Month_8/1/00,binaryClass
3,7971.0,False,False,False,False,False,False,False,False,True,False,False,0
4,7399.0,False,False,False,False,False,False,False,False,True,False,False,1
5,9127.0,False,False,False,False,False,False,False,False,True,False,False,0
6,9606.0,False,False,False,False,False,False,False,False,True,False,False,0
7,9328.0,False,False,False,False,False,False,False,False,True,False,False,0
8,9075.0,False,False,False,False,False,False,False,False,True,False,False,0
9,9362.0,False,False,False,False,False,False,False,False,True,False,False,0
10,8040.0,False,False,False,False,False,False,False,False,True,False,False,0
11,7581.0,False,False,False,False,False,False,False,False,True,False,False,1
12,9201.0,False,False,False,False,False,False,False,False,True,False,False,0
13,9264.0,False,False,False,False,False,False,False,False,True,False,False,0
14,9216.0,False,False,False,False,False,False,False,False,True,False,False,0
15,9175.0,False,False,False,False,False,False,False,False,True,False,False,0
16,9350.0,False,False,False,False,False,False,False,False,True,False,False,0
17,8233.0,False,False,False,False,False,False,False,False,True,False,False,0
18,7777.0,False,False,False,False,False,False,False,False,True,False,False,1
19,9543.0,False,False,False,False,False,False,False,False,True,False,False,0
20,9672.0,False,False,False,False,False,False,False,False,True,False,False,0
21,9266.0,False,False,False,False,False,False,False,False,True,False,False,0
22,9405.0,False,False,False,False,False,False,False,False,True,False,False,0
23,9598.0,False,False,False,False,False,False,False,False,True,False,False,0
24,8122.0,False,False,False,False,False,False,False,False,True,False,False,0
25,8091.0,False,False,False,False,False,False,False,False,True,False,False,1
26,9348.0,False,False,False,False,False,False,False,False,True,False,False,0
27,9857.0,False,False,False,False,False,False,False,False,True,False,False,0
28,9701.0,False,False,False,False,False,False,False,False,True,False,False,0
29,9630.0,False,False,False,False,False,False,False,False,True,False,False,0
30,10080.0,False,False,False,False,False,False,False,False,True,False,False,0
1,8209.0,False,False,False,False,False,False,False,False,False,True,False,0
2,7976.0,False,False,False,False,False,False,False,False,False,True,False,1
3,9284.0,False,False,False,False,False,False,False,False,False,True,False,0
4,8433.0,False,False,False,False,False,False,False,False,False,True,False,0
5,9675.0,False,False,False,False,False,False,False,False,False,True,False,0
6,10184.0,False,False,False,False,False,False,False,False,False,True,False,0
7,10241.0,False,False,False,False,False,False,False,False,False,True,False,0
8,8773.0,False,False,False,False,False,False,False,False,False,True,False,0
9,8102.0,False,False,False,False,False,False,False,False,False,True,False,1
10,9877.0,False,False,False,False,False,False,False,False,False,True,False,0
11,9852.0,False,False,False,False,False,False,False,False,False,True,False,0
12,9705.0,False,False,False,False,False,False,False,False,False,True,False,0
13,9984.0,False,False,False,False,False,False,False,False,False,True,False,0
14,10438.0,False,False,False,False,False,False,False,False,False,True,False,0
15,8859.0,False,False,False,False,False,False,False,False,False,True,False,0
16,8416.0,False,False,False,False,False,False,False,False,False,True,False,1
17,10026.0,False,False,False,False,False,False,False,False,False,True,False,0
18,10357.0,False,False,False,False,False,False,False,False,False,True,False,0
19,10015.0,False,False,False,False,False,False,False,False,False,True,False,0
20,10386.0,False,False,False,False,False,False,False,False,False,True,False,0
21,10332.0,False,False,False,False,False,False,False,False,False,True,False,0
22,9062.0,False,False,False,False,False,False,False,False,False,True,False,0
23,8563.0,False,False,False,False,False,False,False,False,False,True,False,1
24,9960.0,False,False,False,False,False,False,False,False,False,True,False,0
25,10349.0,False,False,False,False,False,False,False,False,False,True,False,0
26,10091.0,False,False,False,False,False,False,False,False,False,True,False,0
27,10192.0,False,False,False,False,False,False,False,False,False,True,False,0
28,10307.0,False,False,False,False,False,False,False,False,False,True,False,0
29,8677.0,False,False,False,False,False,False,False,False,False,True,False,0
30,8486.0,False,False,False,False,False,False,False,False,False,True,False,1
31,9890.0,False,False,False,False,False,False,False,False,False,True,False,0
1,10145.0,False,False,False,False,False,False,False,False,False,False,True,0
2,9824.0,False,False,False,False,False,False,False,False,False,False,True,0
3,10128.0,False,False,False,False,False,False,False,False,False,False,True,0
4,10051.0,False,False,False,False,False,False,False,False,False,False,True,0
5,8738.0,False,False,False,False,False,False,False,False,False,False,True,0
6,8442.0,False,False,False,False,False,False,False,False,False,False,True,1
7,10206.0,False,False,False,False,False,False,False,False,False,False,True,0
8,10442.0,False,False,False,False,False,False,False,False,False,False,True,0
9,10142.0,False,False,False,False,False,False,False,False,False,False,True,0
10,10284.0,False,False,False,False,False,False,False,False,False,False,True,0
11,10162.0,False,False,False,False,False,False,False,False,False,False,True,0
12,8951.0,False,False,False,False,False,False,False,False,False,False,True,0
13,8532.0,False,False,False,False,False,False,False,False,False,False,True,1
14,10127.0,False,False,False,False,False,False,False,False,False,False,True,0
15,10502.0,False,False,False,False,False,False,False,False,False,False,True,0
16,10053.0,False,False,False,False,False,False,False,False,False,False,True,0
17,10377.0,False,False,False,False,False,False,False,False,False,False,True,0
18,10355.0,False,False,False,False,False,False,False,False,False,False,True,0
19,8904.0,False,False,False,False,False,False,False,False,False,False,True,0
20,8477.0,False,False,False,False,False,False,False,False,False,False,True,1
21,9967.0,False,False,False,False,False,False,False,False,False,False,True,0
22,10229.0,False,False,False,False,False,False,False,False,False,False,True,0
23,9900.0,False,False,False,False,False,False,False,False,False,False,True,0
24,10152.0,False,False,False,False,False,False,False,False,False,False,True,0
25,10173.0,False,False,False,False,False,False,False,False,False,False,True,0
26,8782.0,False,False,False,False,False,False,False,False,False,False,True,0
27,8453.0,False,False,False,False,False,False,False,False,False,False,True,1
28,9998.0,False,False,False,False,False,False,False,False,False,False,True,0
29,10387.0,False,False,False,False,False,False,False,False,False,False,True,0
30,10063.0,False,False,False,False,False,False,False,False,False,False,True,0
31,9849.0,False,False,False,False,False,False,False,False,False,False,True,0
1,10114.0,False,False,False,False,False,False,False,False,False,False,False,0
2,8580.0,False,False,False,False,False,False,False,False,False,False,False,0
3,8355.0,False,False,False,False,False,False,False,False,False,False,False,1
4,8481.0,False,False,False,False,False,False,False,False,False,False,False,0
5,10023.0,False,False,False,False,False,False,False,False,False,False,False,0
6,10703.0,False,False,False,False,False,False,False,False,False,False,False,0
7,10292.0,False,False,False,False,False,False,False,False,False,False,False,0
8,10371.0,False,False,False,False,False,False,False,False,False,False,False,0
9,9023.0,False,False,False,False,False,False,False,False,False,False,False,0
10,8630.0,False,False,False,False,False,False,False,False,False,False,False,1
11,10154.0,False,False,False,False,False,False,False,False,False,False,False,0
12,10425.0,False,False,False,False,False,False,False,False,False,False,False,0
13,10149.0,False,False,False,False,False,False,False,False,False,False,False,0
14,10265.0,False,False,False,False,False,False,False,False,False,False,False,0
15,10265.0,False,False,False,False,False,False,False,False,False,False,False,0
16,9170.0,False,False,False,False,False,False,False,False,False,False,False,0
17,8711.0,False,False,False,False,False,False,False,False,False,False,False,1
18,10304.0,False,False,False,False,False,False,False,False,False,False,False,0
19,10711.0,False,False,False,False,False,False,False,False,False,False,False,0
20,10488.0,False,False,False,False,False,False,False,False,False,False,False,0
21,10499.0,False,False,False,False,False,False,False,False,False,False,False,0
22,10349.0,False,False,False,False,False,False,False,False,False,False,False,0
23,8735.0,False,False,False,False,False,False,False,False,False,False,False,0
24,8647.0,False,False,False,False,False,False,False,False,False,False,False,1
25,10414.0,False,False,False,False,False,False,False,False,False,False,False,0
26,10498.0,False,False,False,False,False,False,False,False,False,False,False,0
27,10344.0,False,False,False,False,False,False,False,False,False,False,False,0
28,10175.0,False,False,False,False,False,False,False,False,False,False,False,0
29,10368.0,False,False,False,False,False,False,False,False,False,False,False,0
30,8648.0,False,False,False,False,False,False,False,False,False,False,False,0
1,8686.0,False,True,False,False,False,False,False,False,False,False,False,1
2,9927.0,False,True,False,False,False,False,False,False,False,False,False,0
3,10378.0,False,True,False,False,False,False,False,False,False,False,False,0
4,9928.0,False,True,False,False,False,False,False,False,False,False,False,0
5,9949.0,False,True,False,False,False,False,False,False,False,False,False,0
6,10052.0,False,True,False,False,False,False,False,False,False,False,False,0
7,8605.0,False,True,False,False,False,False,False,False,False,False,False,0
8,8377.0,False,True,False,False,False,False,False,False,False,False,False,1
9,9765.0,False,True,False,False,False,False,False,False,False,False,False,0
10,10351.0,False,True,False,False,False,False,False,False,False,False,False,0
11,9873.0,False,True,False,False,False,False,False,False,False,False,False,0
12,9824.0,False,True,False,False,False,False,False,False,False,False,False,0
13,9755.0,False,True,False,False,False,False,False,False,False,False,False,0
14,8554.0,False,True,False,False,False,False,False,False,False,False,False,0
15,7873.0,False,True,False,False,False,False,False,False,False,False,False,1
16,9531.0,False,True,False,False,False,False,False,False,False,False,False,0
17,9938.0,False,True,False,False,False,False,False,False,False,False,False,0
18,9388.0,False,True,False,False,False,False,False,False,False,False,False,0
19,9502.0,False,True,False,False,False,False,False,False,False,False,False,0
20,9625.0,False,True,False,False,False,False,False,False,False,False,False,0
21,8411.0,False,True,False,False,False,False,False,False,False,False,False,0
22,7936.0,False,True,False,False,False,False,False,False,False,False,False,1
23,9425.0,False,True,False,False,False,False,False,False,False,False,False,0
24,9576.0,False,True,False,False,False,False,False,False,False,False,False,0
25,9328.0,False,True,False,False,False,False,False,False,False,False,False,0
26,9501.0,False,True,False,False,False,False,False,False,False,False,False,0
27,9537.0,False,True,False,False,False,False,False,False,False,False,False,0
28,8415.0,False,True,False,False,False,False,False,False,False,False,False,0
29,8155.0,False,True,False,False,False,False,False,False,False,False,False,1
30,9457.0,False,True,False,False,False,False,False,False,False,False,False,0
31,9333.0,False,True,False,False,False,False,False,False,False,False,False,0
1,9321.0,False,False,True,False,False,False,False,False,False,False,False,0
2,9245.0,False,False,True,False,False,False,False,False,False,False,False,0
3,9774.0,False,False,True,False,False,False,False,False,False,False,False,0
4,8246.0,False,False,True,False,False,False,False,False,False,False,False,0
5,8011.0,False,False,True,False,False,False,False,False,False,False,False,1
6,9507.0,False,False,True,False,False,False,False,False,False,False,False,0
7,9769.0,False,False,True,False,False,False,False,False,False,False,False,0
8,9501.0,False,False,True,False,False,False,False,False,False,False,False,0
9,9609.0,False,False,True,False,False,False,False,False,False,False,False,0
10,9652.0,False,False,True,False,False,False,False,False,False,False,False,0
11,8352.0,False,False,True,False,False,False,False,False,False,False,False,0
12,7967.0,False,False,True,False,False,False,False,False,False,False,False,1
13,9606.0,False,False,True,False,False,False,False,False,False,False,False,0
14,10014.0,False,False,True,False,False,False,False,False,False,False,False,0
15,9536.0,False,False,True,False,False,False,False,False,False,False,False,0
16,9568.0,False,False,True,False,False,False,False,False,False,False,False,0
17,9835.0,False,False,True,False,False,False,False,False,False,False,False,0
18,8432.0,False,False,True,False,False,False,False,False,False,False,False,0
19,7868.0,False,False,True,False,False,False,False,False,False,False,False,1
20,9592.0,False,False,True,False,False,False,False,False,False,False,False,0
21,9950.0,False,False,True,False,False,False,False,False,False,False,False,0
22,9548.0,False,False,True,False,False,False,False,False,False,False,False,0
23,7915.0,False,False,True,False,False,False,False,False,False,False,False,0
24,9037.0,False,False,True,False,False,False,False,False,False,False,False,0
25,8275.0,False,False,True,False,False,False,False,False,False,False,False,0
26,8068.0,False,False,True,False,False,False,False,False,False,False,False,1
27,9825.0,False,False,True,False,False,False,False,False,False,False,False,0
28,9814.0,False,False,True,False,False,False,False,False,False,False,False,0
29,9438.0,False,False,True,False,False,False,False,False,False,False,False,0
30,9396.0,False,False,True,False,False,False,False,False,False,False,False,0
1,9592.0,False,False,False,True,False,False,False,False,False,False,False,0
2,8528.0,False,False,False,True,False,False,False,False,False,False,False,0
3,8196.0,False,False,False,True,False,False,False,False,False,False,False,1
4,9767.0,False,False,False,True,False,False,False,False,False,False,False,0
5,9881.0,False,False,False,True,False,False,False,False,False,False,False,0
6,9402.0,False,False,False,True,False,False,False,False,False,False,False,0
7,9480.0,False,False,False,True,False,False,False,False,False,False,False,0
8,9398.0,False,False,False,True,False,False,False,False,False,False,False,0
9,8335.0,False,False,False,True,False,False,False,False,False,False,False,0
10,8093.0,False,False,False,True,False,False,False,False,False,False,False,1
11,9686.0,False,False,False,True,False,False,False,False,False,False,False,0
12,10063.0,False,False,False,True,False,False,False,False,False,False,False,0
13,9509.0,False,False,False,True,False,False,False,False,False,False,False,0
14,9524.0,False,False,False,True,False,False,False,False,False,False,False,0
15,9951.0,False,False,False,True,False,False,False,False,False,False,False,0
16,8507.0,False,False,False,True,False,False,False,False,False,False,False,0
17,8172.0,False,False,False,True,False,False,False,False,False,False,False,1
18,10196.0,False,False,False,True,False,False,False,False,False,False,False,0
19,10605.0,False,False,False,True,False,False,False,False,False,False,False,0
20,9998.0,False,False,False,True,False,False,False,False,False,False,False,0
21,9398.0,False,False,False,True,False,False,False,False,False,False,False,0
22,9008.0,False,False,False,True,False,False,False,False,False,False,False,0
23,7939.0,False,False,False,True,False,False,False,False,False,False,False,0
24,7964.0,False,False,False,True,False,False,False,False,False,False,False,1
25,7846.0,False,False,False,True,False,False,False,False,False,False,False,0
26,8902.0,False,False,False,True,False,False,False,False,False,False,False,0
27,9907.0,False,False,False,True,False,False,False,False,False,False,False,0
28,10177.0,False,False,False,True,False,False,False,False,False,False,False,0
29,10401.0,False,False,False,True,False,False,False,False,False,False,False,0
30,8474.0,False,False,False,True,False,False,False,False,False,False,False,0
31,8028.0,False,False,False,True,False,False,False,False,False,False,False,1
