year,value,rent,ftotinc,nfams,ncouples,nmothers,nfathers,momloc,stepmom,momrule,poploc,steppop,poprule,sploc,sprule,famsize,nchild,nchlt5,famunit,eldch,yngch,nsibs,age,sex,occscore,sei,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,movedin,gq_HH_in_1970_definition_but_sampled_as_larger_unit,gq_Institution,gq_Other_group_quarters,gqtypeg_College_dormitory,gqtypeg_Correctional_institutions,gqtypeg_Mental_institutions,gqtypeg_Military,gqtypeg_NA_(household),gqtypeg_Other_institutions,gqtypeg_Other_non-instit_GQ_and_unknown,gqtypeg_Rooming_house,farm_Farm,farm_Non-Farm,relateg_Child,relateg_Child-in-law,relateg_Grandchild,relateg_Head_Householder,relateg_Institutional_inmates,relateg_Other_non-relatives,relateg_Other_relatives,relateg_Parent,relateg_Parent-in-Law,relateg_Partner_friend_visitor,relateg_Sibling,relateg_Sibling-in-Law,relateg_Spouse,raceg_American_Indian,raceg_Black_Negro,raceg_Chinese,raceg_Japanese,raceg_Other_Asian_or_Pacific,raceg_Other_race_nec,raceg_White,marst_Divorced,marst_Married_spouse_absent,marst_Married_spouse_present,marst_Never_married_single,marst_Separated,marst_Widowed,school_No_not_in_school,school_Yes_in_school,binaryClass
98,999999.0,0.0,42065.0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,99,99,1,50,1,20,8,16860.0,15605.0,0.0,0.0,0.0,0.0,0.0,501.0,6,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,1
98,999999.0,287.0,11630.0,1,2,1,1,4,0,3,3,0,3,0,0,7,0,0,1,99,99,2,3,1,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,100.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,1
98,112500.0,0.0,18205.0,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,11,1,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,209.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,1
98,999999.0,212.0,11300.0,1,1,1,1,0,0,0,0,0,0,1,1,3,1,0,1,12,12,0,50,0,27,64,7205.0,7205.0,0.0,0.0,0.0,0.0,0.0,192.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,0
98,137500.0,0.0,48010.0,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,15,0,0,0,0.0,999999.0,999999.0,999999.0,0.0,0.0,0.0,501.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,85000.0,0.0,19400.0,1,1,2,1,0,0,0,0,0,0,2,1,4,1,1,1,2,2,0,60,1,37,49,11570.0,8885.0,0.0,0.0,0.0,0.0,2685.0,254.0,2,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,0
98,999999.0,325.0,18005.0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,11,11,0,31,0,40,77,18005.0,18005.0,0.0,0.0,0.0,0.0,0.0,358.0,2,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,0
98,95000.0,0.0,35420.0,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,14,1,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,407.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,999999.0,325.0,7620.0,2,0,1,0,0,0,0,0,0,0,0,0,3,2,0,1,11,8,0,35,0,25,44,7620.0,7415.0,0.0,0.0,0.0,0.0,0.0,130.0,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,1
98,67500.0,0.0,15740.0,1,1,2,1,3,0,2,0,0,0,0,0,7,0,0,1,99,99,3,12,1,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,139.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,112500.0,0.0,33395.0,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,12,1,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,451.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,999999.0,262.0,12505.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,29,0,41,68,12505.0,12505.0,0.0,0.0,0.0,0.0,0.0,330.0,2,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,1
98,999999.0,325.0,3175.0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,87,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,2,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1
98,999999.0,1.0,18205.0,2,0,0,1,0,0,0,1,0,1,0,0,2,0,0,1,99,99,0,13,0,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,362.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,999999.0,212.0,10160.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,62,0,22,51,10160.0,10005.0,0.0,0.0,0.0,0.0,0.0,268.0,5,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,1
98,999999.0,155.0,3840.0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,99,99,1,1,0,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,65.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,1
98,112500.0,0.0,53330.0,1,1,1,1,2,0,1,1,0,1,0,0,7,0,0,1,99,99,4,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,999999.0,375.0,6510.0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,18,18,0,39,0,11,16,4505.0,4505.0,0.0,0.0,0.0,0.0,0.0,133.0,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,1
98,999999.0,0.0,999999.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,90,0,0,0,4355.0,0.0,0.0,0.0,0.0,4355.0,0.0,0.0,0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,1
98,23750.0,0.0,17985.0,1,1,1,0,3,1,1,0,0,0,1,1,3,0,0,1,99,99,0,60,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1
98,200000.0,0.0,54245.0,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,13,0,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,501.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,999999.0,325.0,24165.0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,24,1,15,26,16160.0,16005.0,0.0,0.0,0.0,0.0,0.0,495.0,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1
98,137500.0,0.0,46485.0,1,1,1,1,2,0,1,1,0,1,0,0,3,0,0,1,99,99,0,0,0,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,501.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,1
98,95000.0,0.0,37850.0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,40,0,24,44,14805.0,14805.0,0.0,0.0,0.0,0.0,0.0,501.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,1
98,999999.0,85.0,4810.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,72,0,0,0,4810.0,0.0,0.0,0.0,4445.0,0.0,0.0,137.0,6,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,1
98,999999.0,325.0,26305.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,26,1,35,68,26305.0,26305.0,0.0,0.0,0.0,0.0,0.0,501.0,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,1
98,999999.0,450.0,9660.0,4,1,1,1,0,0,0,0,0,0,2,1,4,1,1,1,1,1,1,29,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,1
98,999999.0,325.0,7205.0,1,0,1,0,0,0,0,0,0,0,0,0,5,4,0,1,16,5,0,35,0,18,44,7205.0,7205.0,0.0,0.0,0.0,0.0,0.0,84.0,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,1
98,999999.0,135.0,8045.0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,99,99,0,3,1,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,160.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,999999.0,262.0,24005.0,1,1,1,1,1,0,1,2,0,1,0,0,5,0,0,1,99,99,2,2,0,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,276.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,1
98,999999.0,325.0,18005.0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,99,99,0,11,0,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,358.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,999999.0,262.0,11005.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,21,0,25,44,11005.0,11005.0,0.0,0.0,0.0,0.0,0.0,290.0,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,1
98,999999.0,500.0,26910.0,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,15,1,0,0,0.0,999999.0,999999.0,999999.0,0.0,0.0,0.0,309.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,112500.0,0.0,39520.0,1,1,1,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,3,20,1,24,47,6005.0,6005.0,0.0,0.0,0.0,0.0,0.0,393.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,0
98,999999.0,145.0,9105.0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,99,99,1,82,0,0,0,4830.0,0.0,0.0,0.0,3265.0,1565.0,0.0,207.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,1
98,37500.0,0.0,4810.0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,72,1,0,0,2405.0,0.0,0.0,0.0,2405.0,0.0,0.0,109.0,7,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1
98,62500.0,0.0,75000.0,1,1,2,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,2,24,1,22,20,17505.0,17505.0,0.0,0.0,0.0,0.0,0.0,501.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,1
98,999999.0,262.0,8005.0,1,1,1,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,3,7,1,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,82.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,1
98,999999.0,450.0,11150.0,1,1,1,1,0,0,0,0,0,0,2,1,3,1,0,1,15,15,0,46,1,41,68,11150.0,10925.0,0.0,0.0,0.0,0.0,0.0,190.0,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1
98,72500.0,0.0,24110.0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,42,1,11,18,19505.0,19505.0,0.0,0.0,0.0,0.0,0.0,494.0,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1
98,999999.0,0.0,23925.0,1,1,1,1,1,0,1,2,0,1,0,0,7,0,0,1,99,99,4,23,0,26,52,1960.0,955.0,0.0,0.0,0.0,0.0,0.0,202.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,0
98,999999.0,287.0,13445.0,1,0,1,0,1,0,1,0,0,0,0,0,3,0,0,1,99,99,1,5,0,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,229.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,137500.0,0.0,26870.0,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,999999.0,185.0,4005.0,1,1,1,1,2,0,1,1,0,1,0,0,7,0,0,1,99,99,4,11,1,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,37.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,999999.0,325.0,12005.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,30,1,24,47,12005.0,12005.0,0.0,0.0,0.0,0.0,0.0,316.0,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,1
98,999999.0,175.0,18220.0,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,19,0,18,44,805.0,805.0,0.0,0.0,0.0,0.0,0.0,242.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,1
98,999999.0,175.0,3305.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,99,99,0,38,0,26,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
98,999999.0,500.0,55815.0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,54,0,41,68,44205.0,44205.0,0.0,0.0,0.0,0.0,0.0,501.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,0
98,175000.0,0.0,29125.0,1,1,1,1,0,0,0,0,0,0,2,1,4,2,0,1,16,14,0,38,1,35,62,11810.0,5005.0,0.0,0.0,0.0,0.0,0.0,394.0,5,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1
98,999999.0,212.0,15530.0,1,1,1,1,0,0,0,0,0,0,1,1,4,2,0,1,11,9,0,30,0,30,65,1315.0,1315.0,0.0,0.0,0.0,0.0,0.0,210.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,0
98,999999.0,237.0,11005.0,1,0,1,0,0,0,0,0,0,0,0,0,4,3,0,1,20,6,0,45,0,17,26,11005.0,11005.0,0.0,0.0,0.0,0.0,0.0,149.0,5,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0
98,999999.0,450.0,4910.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,85,0,0,0,4910.0,0.0,0.0,0.0,2105.0,2805.0,0.0,140.0,2,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,1
98,95000.0,0.0,30695.0,1,0,1,0,2,0,1,0,0,0,0,0,2,0,0,1,99,99,0,48,1,27,31,30000.0,26665.0,0.0,0.0,0.0,0.0,0.0,501.0,6,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,1
98,112500.0,0.0,20010.0,1,1,1,1,0,0,0,0,0,0,2,1,4,2,1,1,6,4,0,35,1,41,68,16005.0,16005.0,0.0,0.0,0.0,0.0,0.0,271.0,2,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1
98,21250.0,0.0,4510.0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,41,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1
98,85000.0,0.0,14935.0,1,0,1,0,1,0,1,0,0,0,0,0,4,0,0,1,99,99,2,19,1,16,15,3605.0,3605.0,0.0,0.0,0.0,0.0,0.0,195.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,85000.0,0.0,21010.0,1,1,1,1,0,0,0,0,0,0,1,1,3,1,0,1,8,8,0,44,0,11,16,4005.0,4005.0,0.0,0.0,0.0,0.0,0.0,358.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1
98,95000.0,0.0,20600.0,1,1,1,1,0,0,0,0,0,0,1,1,6,3,0,1,11,5,0,34,0,24,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1
98,999999.0,175.0,10005.0,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,8,0,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,135.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
